epic_id,epic_issue_key,project_key,epic_name,epic_status,start_date,target_date
EPIC-04739,MOB-4739,MOB,Spectacle discuter silencieux dangereux plaine.,Done,2026-09-14,2026-11-15
EPIC-04744,BANK-4744,BANK,Rêve source agent précipiter règle.,Done,2026-09-14,2026-11-19
EPIC-04748,ERP-4748,ERP,Bas sec nom occasion endroit elle tuer mois.,In Progress,2026-09-14,2026-12-09
EPIC-04796,DATA-4796,DATA,Large roman époque attacher franchir notre.,Done,2026-09-14,2026-11-24
EPIC-04812,CRM-4812,CRM,Leur tenir désigner accompagner mort réclamer interroger étonner.,In Progress,2026-09-14,2026-11-02
EPIC-04840,SEC-4840,SEC,Capable moyen d'autres jeune conduire l'une heureux.,In Progress,2026-09-14,2026-12-08
EPIC-04841,BI-4841,BI,Valeur accuser bras vol taire accomplir aller admettre.,Done,2026-09-14,2026-11-24
EPIC-04860,CRM-4860,CRM,Saisir chant inquiétude début.,Blocked,2026-09-14,2026-09-29
EPIC-04867,PORTAL-4867,PORTAL,Palais sueur poitrine cercle reconnaître encore soumettre défaut lourd réclamer.,Blocked,2026-09-14,2026-10-10
EPIC-04886,SEC-4886,SEC,Presque atteindre rien.,Testing,2026-09-14,2026-10-14
EPIC-04908,CLOUD-4908,CLOUD,Beau cas honneur assurer compter plaisir croiser passage corde commencement façon seulement quinze exécuter.,Reopened,2026-09-14,2026-11-13
EPIC-04917,MOB-4917,MOB,Petit sien banc prévoir fête âge anglais puissant respecter paraître soin côté.,Done,2026-09-14,2026-11-17
EPIC-04919,ERP-4919,ERP,Rose causer guère commander âme d'abord.,Done,2026-09-14,2026-11-16
EPIC-04927,CRM-4927,CRM,Moi dent digne porter agir rue faim face songer donner couvrir.,Testing,2026-09-14,2026-10-17
EPIC-04931,BANK-4931,BANK,Prier témoin madame exister faux droite entre parole moitié cou nul.,Reopened,2026-09-14,2026-12-01
EPIC-04960,BI-4960,BI,Oncle montrer animal craindre précipiter vif ferme un dent.,Testing,2026-09-14,2026-11-24
EPIC-04994,SEC-4994,SEC,Seconde posséder bon quinze bas sec femme danser quand armée sens.,In Progress,2026-09-14,2026-10-29
EPIC-04997,CLOUD-4997,CLOUD,Employer forcer témoin monde pur.,Done,2026-09-14,2026-10-28
