link_id,source_issue,target_issue,link_type
LINK-00525,CLOUD-3575,BI-1054,blocks
LINK-00526,PORTAL-3553,CRM-2791,is duplicated by
LINK-00527,ERP-3402,CRM-4127,relates to
LINK-00528,DATA-4179,PORTAL-4579,is blocked by
LINK-00529,PORTAL-1807,CLOUD-3665,duplicates
LINK-00530,BI-3667,MOB-3240,blocks
LINK-00531,PORTAL-890,BANK-4305,is blocked by
LINK-00532,SEC-659,ERP-58,duplicates
LINK-00533,PORTAL-4067,SEC-4154,blocks
LINK-00534,PORTAL-2588,SEC-1819,relates to
LINK-00535,CRM-1382,CRM-3044,duplicates
LINK-00536,MOB-1842,CLOUD-2103,is duplicated by
LINK-00537,BI-662,CRM-3530,relates to
LINK-00538,MOB-2670,ERP-272,blocks
LINK-00539,SEC-2773,ERP-2058,blocks
LINK-00540,ECOM-1436,ECOM-2762,is blocked by
LINK-00541,CLOUD-144,ERP-2512,duplicates
LINK-00542,BANK-3784,SEC-4755,duplicates
LINK-00543,SEC-3737,ERP-2337,relates to
LINK-00544,BANK-694,BANK-3163,is blocked by
LINK-00545,ERP-3245,SEC-783,is duplicated by
LINK-00546,PORTAL-1239,CRM-4827,is duplicated by
LINK-00547,SEC-4069,PORTAL-598,is duplicated by
LINK-00548,DATA-4476,BANK-2110,duplicates
LINK-00549,CRM-2229,BANK-4931,is blocked by
LINK-00550,MOB-2484,MOB-2351,duplicates
LINK-00551,SEC-3739,SEC-3911,is blocked by
LINK-00552,BANK-2110,BI-1951,is blocked by
LINK-00553,MOB-2796,BANK-2233,duplicates
LINK-00554,MOB-4237,BANK-2368,duplicates
LINK-00555,ERP-1069,CRM-1890,relates to
LINK-00556,BI-207,ECOM-1090,relates to
LINK-00557,CLOUD-3988,DATA-4644,relates to
LINK-00558,BI-2883,DATA-1280,is duplicated by
LINK-00559,SEC-3911,PORTAL-2004,is duplicated by
LINK-00560,PORTAL-4662,BI-4486,is blocked by
LINK-00561,SEC-5000,MOB-2379,is blocked by
LINK-00562,CLOUD-4704,DATA-4190,relates to
LINK-00563,MOB-4045,MOB-606,is blocked by
LINK-00564,BI-2410,ECOM-266,is blocked by
LINK-00565,SEC-1551,BANK-2859,relates to
LINK-00566,SEC-4086,PORTAL-4474,is blocked by
LINK-00567,MOB-4965,MOB-4215,duplicates
LINK-00568,CRM-1486,ERP-3951,duplicates
LINK-00569,SEC-3039,ECOM-3802,blocks
LINK-00570,CLOUD-4217,CLOUD-2148,relates to
LINK-00571,SEC-3086,CRM-1218,blocks
LINK-00572,BANK-1304,MOB-4965,relates to
LINK-00573,DATA-1190,PORTAL-2723,relates to
LINK-00574,BANK-4462,DATA-1981,duplicates
LINK-00575,ERP-3524,BANK-4786,is duplicated by
LINK-00576,ERP-2405,ECOM-4593,relates to
LINK-00577,BANK-3053,CLOUD-718,is blocked by
LINK-00578,CRM-4624,ERP-1847,blocks
LINK-00579,CRM-1524,BI-3774,is blocked by
LINK-00580,BANK-4519,DATA-3133,blocks
LINK-00581,MOB-1120,BI-3780,is duplicated by
LINK-00582,PORTAL-1539,ERP-396,duplicates
LINK-00583,MOB-2459,PORTAL-3508,is blocked by
LINK-00584,ECOM-4915,BI-4623,relates to
LINK-00585,BI-4455,ECOM-4955,blocks
LINK-00586,BI-3469,MOB-744,relates to
LINK-00587,SEC-407,CRM-2919,relates to
LINK-00588,DATA-996,CLOUD-1022,is blocked by
LINK-00589,BI-1956,BI-3980,relates to
LINK-00590,CLOUD-3988,BI-2188,is blocked by
LINK-00591,BI-186,CLOUD-740,blocks
LINK-00592,ERP-2050,MOB-1829,blocks
LINK-00593,ERP-4181,BANK-4980,blocks
LINK-00594,ERP-1179,MOB-492,blocks
LINK-00595,CLOUD-4771,ERP-137,relates to
LINK-00596,DATA-4476,ERP-1832,is duplicated by
LINK-00597,SEC-2828,ECOM-4657,is duplicated by
LINK-00598,CLOUD-238,CRM-1427,is duplicated by
LINK-00599,CLOUD-1632,CRM-2834,is blocked by
LINK-00600,MOB-3930,CLOUD-608,is duplicated by
LINK-00601,DATA-3818,SEC-2567,blocks
LINK-00602,BI-838,CLOUD-1692,relates to
LINK-00603,CLOUD-3483,CRM-1717,is duplicated by
LINK-00604,BANK-3845,ERP-1048,duplicates
LINK-00605,DATA-4476,DATA-3544,duplicates
LINK-00606,BANK-394,ECOM-3601,is blocked by
LINK-00607,ECOM-3470,PORTAL-1790,is duplicated by
LINK-00608,SEC-951,DATA-2095,blocks
LINK-00609,CLOUD-3762,MOB-1393,duplicates
LINK-00610,SEC-1217,SEC-2069,blocks
LINK-00611,MOB-4354,ECOM-1336,duplicates
LINK-00612,MOB-732,ERP-3376,relates to
LINK-00613,CRM-4916,ECOM-2631,blocks
LINK-00614,BI-2816,BI-1894,duplicates
LINK-00615,ECOM-1879,ECOM-1823,relates to
LINK-00616,ECOM-2551,BI-2410,is duplicated by
LINK-00617,CRM-2554,CRM-915,is blocked by
LINK-00618,PORTAL-4597,SEC-2069,blocks
LINK-00619,PORTAL-3905,ECOM-3926,duplicates
LINK-00620,BANK-802,CLOUD-715,relates to
LINK-00621,DATA-2259,CRM-1473,relates to
LINK-00622,ERP-3745,MOB-3859,is blocked by
LINK-00623,BANK-4432,CLOUD-1424,duplicates
LINK-00624,ERP-4326,ECOM-3642,is duplicated by
LINK-00625,CLOUD-2634,ERP-1680,is blocked by
LINK-00626,CLOUD-229,ERP-417,blocks
LINK-00627,SEC-3621,BI-908,relates to
LINK-00628,DATA-3779,PORTAL-4479,blocks
LINK-00629,ERP-2415,MOB-3934,blocks
LINK-00630,SEC-4391,ERP-3000,blocks
LINK-00631,SEC-3954,DATA-3628,is blocked by
LINK-00632,ECOM-2526,DATA-4863,blocks
LINK-00633,MOB-1120,DATA-2623,blocks
LINK-00634,DATA-3451,BANK-1298,is duplicated by
LINK-00635,MOB-1656,MOB-3821,blocks
LINK-00636,MOB-3150,CLOUD-4299,duplicates
LINK-00637,SEC-2342,ECOM-172,duplicates
LINK-00638,PORTAL-2071,CLOUD-2523,duplicates
LINK-00639,CLOUD-2924,ECOM-2957,is blocked by
LINK-00640,CRM-3707,CRM-1574,blocks
LINK-00641,CLOUD-1695,MOB-1625,is blocked by
LINK-00642,MOB-1151,CLOUD-4245,relates to
LINK-00643,PORTAL-2128,DATA-657,is blocked by
LINK-00644,ECOM-4407,ECOM-3971,is duplicated by
LINK-00645,ECOM-3058,BI-1998,duplicates
LINK-00646,DATA-2558,SEC-4093,duplicates
LINK-00647,SEC-4167,MOB-4404,duplicates
LINK-00648,CRM-3759,PORTAL-255,relates to
LINK-00649,CLOUD-1125,MOB-747,is duplicated by
LINK-00650,ERP-3876,ECOM-3453,is blocked by
LINK-00651,CLOUD-1465,DATA-3965,blocks
LINK-00652,PORTAL-2961,MOB-4158,blocks
LINK-00653,DATA-610,BI-823,is blocked by
LINK-00654,SEC-3911,ERP-3976,blocks
LINK-00655,PORTAL-197,MOB-3918,blocks
LINK-00656,MOB-4814,BI-2985,is duplicated by
LINK-00657,MOB-835,BI-2353,is duplicated by
LINK-00658,MOB-1456,PORTAL-4136,blocks
LINK-00659,ERP-588,CLOUD-647,relates to
LINK-00660,CLOUD-3675,CRM-4670,is duplicated by
LINK-00661,DATA-860,BI-1066,blocks
LINK-00662,CRM-4390,DATA-2669,blocks
LINK-00663,BI-527,CRM-362,is blocked by
LINK-00664,BI-3351,BI-2418,is blocked by
LINK-00665,BI-4982,BANK-987,duplicates
LINK-00666,DATA-3544,DATA-2857,blocks
LINK-00667,DATA-4180,SEC-3949,blocks
LINK-00668,BI-3729,ERP-4781,is duplicated by
LINK-00669,CLOUD-4080,DATA-2525,relates to
LINK-00670,ERP-2618,SEC-2433,duplicates
LINK-00671,MOB-69,CLOUD-887,is duplicated by
LINK-00672,CRM-379,CRM-3619,duplicates
LINK-00673,CRM-4727,CLOUD-1715,duplicates
LINK-00674,SEC-2537,BANK-3148,relates to
LINK-00675,BI-1240,PORTAL-3656,is duplicated by
LINK-00676,ERP-3327,ECOM-2972,duplicates
LINK-00677,MOB-2825,CLOUD-817,relates to
LINK-00678,MOB-1801,SEC-269,is duplicated by
LINK-00679,CLOUD-4904,SEC-1877,is duplicated by
LINK-00680,BANK-2865,ECOM-808,is blocked by
LINK-00681,ERP-3952,DATA-4684,relates to
LINK-00682,CRM-2113,BANK-4260,duplicates
LINK-00683,ECOM-2503,BI-2386,is duplicated by
LINK-00684,ERP-1207,BI-2984,duplicates
LINK-00685,BANK-3526,BI-1706,duplicates
LINK-00686,CRM-3558,BANK-2628,duplicates
LINK-00687,PORTAL-4388,BI-1273,duplicates
LINK-00688,ERP-1763,ERP-173,duplicates
LINK-00689,ECOM-1430,ERP-126,relates to
LINK-00690,BI-3231,MOB-3859,is blocked by
LINK-00691,BI-1954,ECOM-3670,is blocked by
LINK-00692,SEC-1580,CRM-4282,relates to
LINK-00693,CRM-3158,BI-1170,blocks
LINK-00694,BANK-894,BANK-579,duplicates
LINK-00695,ECOM-3034,MOB-3394,relates to
LINK-00696,MOB-768,BI-2816,is blocked by
LINK-00697,BI-2471,ERP-2142,duplicates
LINK-00698,DATA-2283,ECOM-3735,blocks
LINK-00699,BANK-1982,DATA-1633,is duplicated by
LINK-00700,ECOM-1582,SEC-111,duplicates
LINK-00701,CLOUD-1200,BANK-1312,is blocked by
LINK-00702,BANK-2646,DATA-1220,is blocked by
LINK-00703,DATA-2481,ECOM-4546,blocks
LINK-00704,BI-1951,CLOUD-2728,blocks
LINK-00705,BI-2592,PORTAL-3367,relates to
LINK-00706,CRM-1474,BANK-3348,is blocked by
LINK-00707,BI-1203,DATA-4520,is blocked by
LINK-00708,PORTAL-415,CLOUD-3762,blocks
LINK-00709,ERP-3245,CLOUD-3823,is blocked by
LINK-00710,SEC-395,BANK-452,blocks
LINK-00711,PORTAL-3753,PORTAL-4512,blocks
LINK-00712,PORTAL-3144,ERP-961,blocks
LINK-00713,ERP-228,CRM-4992,duplicates
LINK-00714,ECOM-4547,BI-1786,is duplicated by
LINK-00715,SEC-101,BI-1168,relates to
LINK-00716,PORTAL-2563,BI-1301,blocks
LINK-00717,BI-1054,ERP-1447,blocks
LINK-00718,ECOM-2885,ERP-4970,is blocked by
LINK-00719,ERP-661,MOB-2272,is duplicated by
LINK-00720,BI-2672,BANK-3023,relates to
LINK-00721,ECOM-1477,ERP-3412,is duplicated by
LINK-00722,ERP-1300,BANK-4900,relates to
LINK-00723,PORTAL-2247,CRM-3707,blocks
LINK-00724,ERP-1814,DATA-534,is blocked by
LINK-00725,CLOUD-1202,PORTAL-4525,is blocked by
LINK-00726,SEC-1761,SEC-4884,is blocked by
LINK-00727,BI-2230,SEC-154,relates to
LINK-00728,SEC-4168,ERP-2714,blocks
LINK-00729,BI-2080,ERP-1955,blocks
LINK-00730,BI-3175,BI-2151,relates to
LINK-00731,CLOUD-558,MOB-1994,duplicates
LINK-00732,CLOUD-2280,BANK-109,duplicates
LINK-00733,PORTAL-4926,DATA-3107,is blocked by
LINK-00734,CRM-2101,MOB-932,relates to
LINK-00735,MOB-3297,BI-4820,relates to
LINK-00736,CLOUD-3443,ECOM-3338,is duplicated by
LINK-00737,DATA-3548,PORTAL-2044,duplicates
LINK-00738,PORTAL-2220,PORTAL-3020,is blocked by
LINK-00739,BANK-4598,SEC-439,relates to
LINK-00740,PORTAL-2580,DATA-3624,duplicates
LINK-00741,ERP-769,SEC-1281,duplicates
LINK-00742,BI-3671,MOB-3273,relates to
LINK-00743,SEC-4041,ERP-559,is blocked by
LINK-00744,SEC-4995,DATA-811,duplicates
LINK-00745,DATA-4692,ERP-265,is duplicated by
LINK-00746,CRM-3142,SEC-1146,relates to
LINK-00747,ECOM-2107,BI-3077,is blocked by
LINK-00748,BI-3551,MOB-3669,is duplicated by
LINK-00749,PORTAL-1227,PORTAL-3769,is blocked by
LINK-00750,MOB-1120,ECOM-4910,is blocked by
LINK-00751,ERP-3376,CRM-2162,relates to
LINK-00752,BANK-4278,ECOM-3155,relates to
LINK-00753,CLOUD-1748,ERP-55,relates to
LINK-00754,ECOM-2824,ECOM-142,is duplicated by
LINK-00755,DATA-3618,BI-1249,blocks
LINK-00756,ECOM-4746,MOB-398,blocks
LINK-00757,PORTAL-679,ERP-4875,blocks
LINK-00758,ERP-1609,BANK-1616,is duplicated by
LINK-00759,BI-2394,BANK-1564,relates to
LINK-00760,BI-4625,BANK-1312,duplicates
LINK-00761,CRM-4197,PORTAL-1793,blocks
LINK-00762,SEC-1510,ERP-813,blocks
LINK-00763,CRM-4313,MOB-3682,relates to
LINK-00764,BANK-3602,CLOUD-16,duplicates
LINK-00765,CLOUD-2148,CRM-4385,duplicates
LINK-00766,ECOM-3071,BI-3482,is duplicated by
LINK-00767,CLOUD-1566,BANK-2028,is blocked by
LINK-00768,CLOUD-4363,MOB-4029,duplicates
LINK-00769,MOB-3539,MOB-4981,relates to
LINK-00770,DATA-977,ERP-4721,is blocked by
LINK-00771,BANK-252,PORTAL-1753,blocks
LINK-00772,BI-3021,BANK-4260,duplicates
LINK-00773,MOB-1081,ECOM-2788,is duplicated by
LINK-00774,CRM-537,DATA-2134,is blocked by
LINK-00775,BANK-4893,BI-1812,relates to
LINK-00776,ERP-1901,DATA-920,blocks
LINK-00777,SEC-2578,ECOM-4885,is blocked by
LINK-00778,CRM-2282,PORTAL-3877,blocks
LINK-00779,CRM-745,CRM-2657,relates to
LINK-00780,CRM-4313,BI-403,is duplicated by
LINK-00781,CRM-1532,CRM-4300,duplicates
LINK-00782,BANK-2464,MOB-3672,relates to
LINK-00783,BI-4960,ECOM-2546,blocks
LINK-00784,BANK-204,BI-4936,is duplicated by
LINK-00785,SEC-4041,SEC-1142,relates to
LINK-00786,DATA-3878,CRM-675,is blocked by
LINK-00787,CLOUD-92,ERP-3245,is duplicated by
LINK-00788,PORTAL-3448,SEC-3813,relates to
LINK-00789,BI-4554,BANK-974,is blocked by
LINK-00790,ERP-3437,ECOM-3858,duplicates
LINK-00791,DATA-4962,PORTAL-4903,relates to
LINK-00792,BI-4436,BI-1256,is blocked by
LINK-00793,BI-3868,CRM-654,is duplicated by
LINK-00794,DATA-408,ECOM-4297,is duplicated by
LINK-00795,ECOM-3688,BI-3175,relates to
LINK-00796,ECOM-3576,BI-2783,duplicates
LINK-00797,PORTAL-4136,BI-3259,is duplicated by
LINK-00798,PORTAL-1213,CRM-4992,relates to
LINK-00799,PORTAL-4262,BANK-544,relates to
LINK-00800,BI-776,PORTAL-2704,relates to
LINK-00801,BANK-1449,MOB-3136,relates to
LINK-00802,MOB-1173,BI-2386,is blocked by
LINK-00803,PORTAL-4926,CRM-1861,duplicates
LINK-00804,ECOM-4828,SEC-2439,blocks
LINK-00805,ERP-411,SEC-4840,blocks
LINK-00806,SEC-4296,SEC-1694,is duplicated by
LINK-00807,SEC-4026,CRM-3699,duplicates
LINK-00808,BANK-2648,SEC-3634,relates to
LINK-00809,MOB-1866,CRM-4637,is duplicated by
LINK-00810,CLOUD-4163,MOB-1839,is blocked by
LINK-00811,BI-161,ERP-4850,is blocked by
LINK-00812,BANK-1817,DATA-2941,is blocked by
LINK-00813,ERP-1413,DATA-4692,is duplicated by
LINK-00814,DATA-847,BANK-502,relates to
LINK-00815,MOB-668,ECOM-3847,duplicates
LINK-00816,CLOUD-1762,ERP-1700,is duplicated by
LINK-00817,BI-1657,PORTAL-4136,relates to
LINK-00818,CLOUD-4771,CRM-1890,blocks
LINK-00819,BI-4253,CLOUD-1434,is duplicated by
LINK-00820,CLOUD-3427,PORTAL-2227,blocks
LINK-00821,CLOUD-1521,ECOM-4071,is duplicated by
LINK-00822,CLOUD-4161,CRM-550,duplicates
LINK-00823,BANK-3733,SEC-2858,relates to
LINK-00824,MOB-1456,ECOM-511,relates to
LINK-00825,ERP-4203,BANK-2729,is blocked by
LINK-00826,BANK-449,CRM-1524,is duplicated by
LINK-00827,BI-68,MOB-1441,is blocked by
LINK-00828,DATA-1042,ECOM-4705,is duplicated by
LINK-00829,ERP-893,CRM-1161,duplicates
LINK-00830,BANK-682,DATA-355,is blocked by
LINK-00831,PORTAL-598,SEC-3337,is duplicated by
LINK-00832,MOB-213,BANK-4444,is duplicated by
LINK-00833,PORTAL-997,ERP-4287,relates to
LINK-00834,MOB-430,DATA-3902,relates to
LINK-00835,DATA-3781,BANK-3757,blocks
LINK-00836,CRM-4768,ECOM-4423,duplicates
LINK-00837,BI-4428,MOB-4401,is duplicated by
LINK-00838,BI-3458,DATA-619,duplicates
LINK-00839,CRM-2099,PORTAL-2961,duplicates
LINK-00840,BI-307,BI-2562,relates to
LINK-00841,CLOUD-2661,ERP-2566,blocks
LINK-00842,MOB-739,CRM-3714,is duplicated by
LINK-00843,ECOM-2595,ERP-4042,relates to
LINK-00844,CRM-2381,DATA-4948,is duplicated by
LINK-00845,CLOUD-4829,SEC-4752,is duplicated by
LINK-00846,CLOUD-4800,BI-1800,is duplicated by
LINK-00847,BI-4187,SEC-4026,is blocked by
LINK-00848,ERP-4170,PORTAL-3766,relates to
LINK-00849,MOB-4126,BANK-3755,duplicates
LINK-00850,DATA-3133,ERP-2415,is blocked by
LINK-00851,ECOM-172,ECOM-4071,blocks
LINK-00852,BI-4428,MOB-4652,duplicates
LINK-00853,DATA-53,CRM-2732,is duplicated by
LINK-00854,DATA-3967,ERP-3342,duplicates
LINK-00855,CLOUD-3945,BI-3773,blocks
LINK-00856,MOB-4663,BI-3391,blocks
LINK-00857,CRM-2571,ERP-576,is blocked by
LINK-00858,CLOUD-1762,MOB-2983,relates to
LINK-00859,ECOM-2239,BI-3220,is duplicated by
LINK-00860,ECOM-3071,BANK-3321,is blocked by
LINK-00861,DATA-2926,BI-2691,is blocked by
LINK-00862,ECOM-4294,SEC-3909,duplicates
LINK-00863,CRM-1532,CRM-4258,is duplicated by
LINK-00864,CRM-4204,CRM-3958,duplicates
LINK-00865,ECOM-3857,ERP-1549,is blocked by
LINK-00866,PORTAL-3092,DATA-2157,is blocked by
LINK-00867,PORTAL-2920,ECOM-1899,duplicates
LINK-00868,MOB-4031,ERP-695,is blocked by
LINK-00869,SEC-3949,BI-4936,blocks
LINK-00870,ECOM-2631,ECOM-1001,blocks
LINK-00871,CLOUD-1504,ECOM-2520,is duplicated by
LINK-00872,PORTAL-1841,CLOUD-2876,is blocked by
LINK-00873,SEC-783,BI-2068,is duplicated by
LINK-00874,ERP-508,ECOM-2314,is blocked by
LINK-00875,BI-2394,BI-4623,relates to
LINK-00876,ERP-1550,MOB-673,is duplicated by
LINK-00877,CLOUD-4395,DATA-506,blocks
LINK-00878,CLOUD-887,PORTAL-1793,is blocked by
LINK-00879,ERP-4203,BANK-682,duplicates
LINK-00880,MOB-4974,BI-628,blocks
LINK-00881,CRM-3479,DATA-3447,relates to
LINK-00882,CRM-2533,BI-2355,relates to
LINK-00883,PORTAL-598,BI-972,is duplicated by
LINK-00884,PORTAL-516,CRM-3657,is blocked by
LINK-00885,SEC-279,CLOUD-1457,relates to
LINK-00886,CLOUD-1089,SEC-3973,duplicates
LINK-00887,ERP-4748,PORTAL-3370,blocks
LINK-00888,SEC-1025,CLOUD-2345,duplicates
LINK-00889,PORTAL-469,PORTAL-1885,relates to
LINK-00890,PORTAL-4983,PORTAL-2913,is blocked by
LINK-00891,BI-359,ECOM-3625,relates to
LINK-00892,BANK-535,CLOUD-1082,is duplicated by
LINK-00893,BI-2276,SEC-1916,is blocked by
LINK-00894,CRM-3005,DATA-3956,blocks
LINK-00895,CLOUD-2661,BI-831,relates to
LINK-00896,BI-4993,SEC-659,duplicates
LINK-00897,BANK-3803,PORTAL-4683,is blocked by
LINK-00898,DATA-1987,MOB-962,relates to
LINK-00899,MOB-1953,MOB-3900,is blocked by
LINK-00900,ECOM-4823,SEC-189,is duplicated by
LINK-00901,BANK-368,CRM-3044,relates to
LINK-00902,ECOM-632,MOB-308,blocks
LINK-00903,CRM-3490,CRM-2454,blocks
LINK-00904,CRM-4491,PORTAL-3020,relates to
LINK-00905,BANK-83,SEC-1851,is blocked by
LINK-00906,ERP-1318,SEC-322,is blocked by
LINK-00907,CLOUD-1638,BI-3868,relates to
LINK-00908,SEC-3512,PORTAL-2013,blocks
LINK-00909,PORTAL-918,BANK-2389,is blocked by
LINK-00910,BANK-613,ERP-774,is duplicated by
LINK-00911,CLOUD-3916,BANK-1749,duplicates
LINK-00912,CLOUD-4363,PORTAL-4140,duplicates
LINK-00913,ERP-2712,CRM-2229,blocks
LINK-00914,BANK-4954,CRM-4189,blocks
LINK-00915,DATA-4014,BI-848,duplicates
LINK-00916,ERP-1378,DATA-2269,blocks
LINK-00917,PORTAL-90,MOB-3062,blocks
LINK-00918,SEC-2079,MOB-3631,duplicates
LINK-00919,PORTAL-2402,PORTAL-918,blocks
LINK-00920,ERP-3740,BI-2783,blocks
LINK-00921,BANK-4671,CRM-1078,blocks
LINK-00922,MOB-3353,ERP-4181,is duplicated by
LINK-00923,CLOUD-405,BANK-3704,duplicates
LINK-00924,SEC-1230,CLOUD-3615,is duplicated by
LINK-00925,CLOUD-3170,SEC-1112,blocks
LINK-00926,ECOM-476,ERP-4639,blocks
LINK-00927,BI-509,PORTAL-2007,is duplicated by
LINK-00928,BI-3475,MOB-4425,blocks
LINK-00929,CLOUD-1513,BI-3885,duplicates
LINK-00930,BANK-3177,DATA-2285,duplicates
LINK-00931,MOB-4699,PORTAL-580,relates to
LINK-00932,SEC-4047,CLOUD-3478,is blocked by
LINK-00933,BI-3795,CLOUD-2995,is duplicated by
LINK-00934,ERP-787,BI-4602,is blocked by
LINK-00935,SEC-4275,MOB-2073,duplicates
LINK-00936,MOB-3082,ERP-1924,is duplicated by
LINK-00937,SEC-3433,CLOUD-3113,relates to
LINK-00938,ECOM-4360,SEC-3173,is blocked by
LINK-00939,SEC-978,BI-658,is blocked by
LINK-00940,ERP-975,CRM-2101,duplicates
LINK-00941,PORTAL-3742,PORTAL-3766,duplicates
LINK-00942,MOB-1322,BANK-463,duplicates
LINK-00943,SEC-3813,BI-2458,is duplicated by
LINK-00944,ECOM-423,BI-1920,is blocked by
LINK-00945,MOB-2351,CLOUD-1037,is duplicated by
LINK-00946,SEC-2309,BANK-2290,relates to
LINK-00947,BI-4066,CRM-3476,relates to
LINK-00948,CLOUD-3091,BANK-2284,is duplicated by
LINK-00949,BI-3349,ERP-4513,is blocked by
LINK-00950,CRM-3247,CLOUD-1114,is duplicated by
LINK-00951,CLOUD-2487,BI-680,duplicates
LINK-00952,ERP-524,CRM-1461,duplicates
LINK-00953,DATA-3544,PORTAL-3656,is duplicated by
LINK-00954,DATA-2794,DATA-2040,duplicates
LINK-00955,BANK-4384,ERP-4818,is blocked by
LINK-00956,ECOM-4297,SEC-4847,relates to
LINK-00957,SEC-115,SEC-1233,duplicates
LINK-00958,BI-2289,ECOM-494,duplicates
LINK-00959,ERP-1672,MOB-3997,relates to
LINK-00960,ERP-4690,ECOM-2551,is blocked by
LINK-00961,BANK-46,MOB-3594,is duplicated by
LINK-00962,ERP-350,SEC-2175,relates to
LINK-00963,ERP-3744,CRM-4271,is blocked by
LINK-00964,PORTAL-3305,BI-1184,is duplicated by
LINK-00965,ECOM-3926,CRM-2203,duplicates
LINK-00966,PORTAL-2989,DATA-1604,is duplicated by
LINK-00967,DATA-2040,ERP-961,relates to
LINK-00968,MOB-1158,BI-2156,is blocked by
LINK-00969,CRM-2817,PORTAL-4347,blocks
LINK-00970,MOB-2983,PORTAL-2704,is blocked by
LINK-00971,ERP-3503,SEC-607,blocks
LINK-00972,DATA-2061,CRM-1659,is blocked by
LINK-00973,CRM-4928,PORTAL-3850,is blocked by
LINK-00974,CLOUD-2605,ECOM-3058,is blocked by
LINK-00975,ECOM-283,CLOUD-3306,blocks
LINK-00976,ECOM-3189,DATA-3902,is blocked by
LINK-00977,CRM-2674,ECOM-4373,is blocked by
LINK-00978,CLOUD-3801,BI-1865,duplicates
LINK-00979,DATA-249,BANK-381,relates to
LINK-00980,DATA-3011,SEC-2872,blocks
LINK-00981,BI-3029,MOB-471,relates to
LINK-00982,MOB-821,ERP-1789,blocks
LINK-00983,BANK-4444,CLOUD-1049,blocks
LINK-00984,CRM-4292,BANK-633,is blocked by
LINK-00985,MOB-4369,DATA-194,duplicates
LINK-00986,BI-2275,ECOM-3161,duplicates
LINK-00987,BANK-2274,BI-1184,is blocked by
LINK-00988,CRM-3519,MOB-4865,duplicates
LINK-00989,CLOUD-3804,MOB-2651,is duplicated by
LINK-00990,DATA-2684,CRM-3931,duplicates
LINK-00991,ECOM-4649,PORTAL-3188,duplicates
LINK-00992,MOB-4739,PORTAL-2588,blocks
LINK-00993,DATA-610,SEC-4386,duplicates
LINK-00994,ERP-2036,CLOUD-4330,is duplicated by
LINK-00995,MOB-1668,SEC-3949,is duplicated by
LINK-00996,MOB-1754,PORTAL-3753,relates to
LINK-00997,ERP-4054,DATA-2636,relates to
LINK-00998,ERP-3746,PORTAL-1667,duplicates
LINK-00999,BI-1319,BANK-3803,relates to
LINK-01000,CLOUD-2385,ERP-480,relates to
LINK-01001,CLOUD-3988,ECOM-239,relates to
LINK-01002,BI-160,DATA-4431,is blocked by
LINK-01003,CLOUD-3091,BI-1388,is duplicated by
LINK-01004,BANK-3014,SEC-2413,is blocked by
LINK-01005,DATA-2377,ERP-2996,is blocked by
LINK-01006,MOB-4974,BI-3773,is blocked by
LINK-01007,MOB-3660,MOB-4006,relates to
LINK-01008,MOB-4615,CLOUD-2951,relates to
LINK-01009,CLOUD-4380,MOB-2039,is blocked by
LINK-01010,MOB-3586,ERP-1378,is duplicated by
LINK-01011,SEC-746,CLOUD-4714,duplicates
LINK-01012,ECOM-3246,PORTAL-4809,is duplicated by
LINK-01013,DATA-4520,ERP-787,duplicates
LINK-01014,DATA-3080,DATA-2029,is duplicated by
LINK-01015,CLOUD-345,BANK-3733,is blocked by
LINK-01016,PORTAL-562,CLOUD-3024,blocks
LINK-01017,SEC-3323,BI-838,relates to
LINK-01018,CRM-1098,PORTAL-122,relates to
LINK-01019,SEC-464,CLOUD-4363,relates to
LINK-01020,ECOM-1029,CRM-2065,is blocked by
LINK-01021,DATA-3715,MOB-4044,is duplicated by
LINK-01022,ERP-4492,BI-680,blocks
LINK-01023,DATA-3837,ECOM-1552,is duplicated by
LINK-01024,ECOM-584,CLOUD-1513,is blocked by
LINK-01025,PORTAL-4368,ECOM-1939,relates to
LINK-01026,DATA-847,BANK-4221,blocks
LINK-01027,CRM-4258,MOB-487,duplicates
LINK-01028,BI-3271,PORTAL-825,relates to
LINK-01029,ECOM-4792,ERP-396,duplicates
LINK-01030,PORTAL-490,BANK-2833,is blocked by
LINK-01031,CRM-3558,BANK-3223,duplicates
LINK-01032,SEC-1487,DATA-3628,is duplicated by
LINK-01033,SEC-2241,BANK-1323,blocks
LINK-01034,BANK-2849,ECOM-1062,is blocked by
LINK-01035,SEC-4737,CRM-4831,duplicates
LINK-01036,MOB-3717,PORTAL-1308,blocks
LINK-01037,CRM-3266,BI-416,blocks
LINK-01038,DATA-4194,ERP-508,is blocked by
LINK-01039,ERP-779,PORTAL-868,relates to
LINK-01040,CRM-1010,BI-1800,duplicates
LINK-01041,BI-2355,ERP-4113,is blocked by
LINK-01042,CLOUD-1715,ECOM-3357,is blocked by
LINK-01043,BI-389,MOB-810,relates to
LINK-01044,SEC-3283,ERP-2058,is blocked by
LINK-01045,PORTAL-2841,PORTAL-4178,is blocked by
LINK-01046,ERP-4919,CLOUD-2502,is blocked by
LINK-01047,ECOM-4036,DATA-3894,duplicates
LINK-01048,BANK-3128,CRM-1662,is duplicated by
LINK-01049,MOB-2774,BANK-2389,blocks
LINK-01050,ERP-3584,CRM-4271,is blocked by
LINK-01051,BI-2303,BI-3426,is blocked by
