issue_id,issue_key,project_key,issue_type,summary,description,priority,status,reporter,assignee,created_date,updated_date,due_date,resolved_date,story_points,sprint_id,component_id,label,epic_link,environment,resolution
882,DATA-882,DATA,Sub-task,Parler carte discussion siècle paysage indiquer il but mince quinze.,"Chaîne ramasser payer voile consulter selon garde. Marchand faible branche dieu.
Lorsque sembler condition. Douleur personne dos fumer signe naturellement rapide. Voyage agent grave contenter. Inviter position défendre durer remarquer.",Low,Reopened,user0013,user0005,2026-09-14,2026-09-14,2026-12-09,,8.0,SPR-0026,COMP-0018,production,DATA-1409,Testing,
883,ERP-883,ERP,Sub-task,Armer français porter très lequel.,Poitrine obtenir forcer justice entretenir. Boire afin de désespoir après. Non revoir rentrer ouvert réel port courant.,Medium,To Do,user0002,user0027,2026-09-14,2026-09-14,2026-11-19,,1.0,SPR-0015,COMP-0012,urgent,,Development,
884,BI-884,BI,Bug,Consentir chaque premier patron pencher tenter voir nombre.,"Discussion jeter compter regard état. Vieux hésiter reposer noire trop.
Pousser chambre fort respirer. Derrière fruit tant rapide dans. Voile nom troubler. Couvrir curieux rejoindre propos.",Low,Blocked,user0028,user0012,2026-09-14,2026-09-14,2026-10-06,,8.0,SPR-0011,COMP-0010,production,,Production,
885,SEC-885,SEC,Story,Égal rentrer fusil été volonté année écouter oublier digne.,Neuf si fort vouloir. Fixer fumer choisir public. Trois même mourir souffrance monter matin soumettre dehors. Puis juste sans défendre fenêtre défaut.,High,In Progress,user0013,user0018,2026-09-14,2026-09-14,2026-09-27,,13.0,SPR-0049,COMP-0013,production,,Testing,
886,CLOUD-886,CLOUD,Story,Absolument voici passion nu voici joindre.,Promettre marier frais terre compagnon garde aussitôt. Digne souvenir métier absolu succès miser. Commencer véritable poète écouter. Habiller vie garçon besoin précéder expérience.,Lowest,Testing,user0008,user0015,2026-09-14,2026-09-14,2026-11-15,,1.0,SPR-0007,COMP-0008,frontend,,Development,
887,CLOUD-887,CLOUD,Story,Faible hier soumettre combien créer enfin mettre dimanche as pointe subir immense profiter tour.,"Choisir rang cesser distance songer porter rideau. Tuer important notre dessus intérieur liberté sein avec.
Mauvais juste souffrir calmer triste amener. Terreur montagne intéresser fille. Arrivée clair air.",Highest,Testing,user0026,user0023,2026-09-14,2026-09-14,2026-10-26,,2.0,SPR-0080,COMP-0007,security,,Staging,
888,BI-888,BI,Story,Conseil paraître chemin source ailleurs exposer yeux paysage aller.,"Aventure contenir reprendre espace. Cinquante poursuivre blanc remplacer ensemble prince.
Glisser sept travers aller nul. Froid longtemps où jeunesse. Chien vert pièce contraire surtout dur côté.
Bon demande compte lèvre faim maladie.",High,Testing,user0047,user0001,2026-09-14,2026-09-14,2026-10-27,,13.0,SPR-0077,COMP-0007,database,BI-1313,Production,
889,ERP-889,ERP,Epic,Toujours contenir bois pauvre imposer séparer ouvert annoncer.,"Quelque escalier prix livre savoir étaler prouver. Veiller voiture musique passer art.
Puis reposer courage très absence amour tandis que. Plaindre rôle colline te remercier. Propre payer on énergie élément réponse.",Medium,To Do,user0022,user0027,2026-09-14,2026-09-14,2026-09-29,,,SPR-0022,COMP-0010,frontend,,Production,
890,PORTAL-890,PORTAL,Story,Ou égal combien bête surtout haut.,"Intention signifier journal comme enlever présenter. Brusquement source auteur tourner soi.
Début campagne naturel mort chiffre. Robe précipiter voix inconnu arme envie prêter.
Règle témoin madame.",High,In Progress,user0031,user0037,2026-09-14,2026-09-14,2026-09-30,,2.0,SPR-0002,COMP-0001,technical-debt,,Testing,
891,BI-891,BI,Story,Tour tempête mesure passé naître certes ligne.,"Cheveu avancer de souffler amour plaindre réserver appel.
Vide lentement ouvrir conversation fuir lieu. Rejoindre espérer champ falloir capable. Pleurer voyage marier esprit meilleur leur.",Highest,Done,user0049,user0010,2026-09-14,2026-09-14,2026-10-28,2026-09-15,2.0,SPR-0068,COMP-0050,backend,BI-4960,Development,Done
892,ERP-892,ERP,Bug,Malheur as voile froid secrétaire étrange ennemi remarquer source.,"Poussière nouveau éprouver. Former bureau figurer foi.
Ordre rapidement cri autre vraiment satisfaire. Chef mariage selon auquel dix seuil mériter plan. Conduire humain fou poser exiger vérité apporter liberté.",High,In Progress,user0017,user0020,2026-09-14,2026-09-14,2026-11-04,,8.0,SPR-0033,COMP-0030,frontend,ERP-643,Staging,
893,ERP-893,ERP,Bug,Rapporter animal partir nouveau arme poète.,"Vif mal oui considérer. Résultat lequel leur.
Vague lier beaucoup défaut coeur nation coûter.
Hors éternel mois naissance étudier mauvais bon. Traiter pousser noir bouche. Charge dans désir premier machine.",Low,Done,user0010,user0026,2026-09-14,2026-09-14,2026-12-06,2026-09-15,1.0,SPR-0035,COMP-0015,api,ERP-842,Testing,Done
894,BANK-894,BANK,Task,Agent possible flamme marche.,"Bonheur succès joue nature quelque dégager travers.
Travers près particulier réserver acheter contenter. Comment emporter dernier compter plonger égal droit. Bonheur avancer milieu. Vent volonté sourire course personnage encore.",High,Blocked,user0013,user0023,2026-09-14,2026-09-14,2026-11-15,,3.0,SPR-0027,COMP-0041,backend,BANK-410,Staging,
895,SEC-895,SEC,Epic,Depuis reculer cheval montagne maintenant bien livre éviter bas.,Petit abattre maison tromper rôle auquel emmener calme. Intéresser ventre répondre près jambe sac succès. Disparaître flot marquer dégager. Vêtement repas doux espèce amener.,High,Reopened,user0044,user0020,2026-09-14,2026-09-14,2026-11-27,,,SPR-0023,COMP-0022,production,,Production,
896,ERP-896,ERP,Story,Pencher désespoir champ troubler.,"L'Un politique payer français. Forêt rôle cher honte toit allumer. Produire frère exister maintenir fil tapis.
Bien doucement d'autres recevoir pluie autorité réel minute. Conseil soin comme. Hésiter inviter argent puis assurer chef brûler chaud.",Highest,Testing,user0028,user0027,2026-09-14,2026-09-14,2026-11-03,,21.0,SPR-0079,COMP-0037,improvement,ERP-4748,Staging,
897,ERP-897,ERP,Story,Créer droite ferme ressembler obtenir de interroger jeune réserver empêcher question.,"Joie endroit poste composer. Placer passé rejeter vert bras rapidement ligne.
Circonstance se nécessaire soit. Impossible oiseau obéir du voix sein autrefois. Pourquoi annoncer présent causer séparer.",Highest,Reopened,user0040,user0033,2026-09-14,2026-09-14,2026-10-09,,5.0,SPR-0020,COMP-0043,database,ERP-4639,Staging,
898,BI-898,BI,Story,Où parfaitement rare réponse mari gens.,"Tout ajouter direction éviter. Lien protéger liberté souhaiter. Inquiétude joindre calme troisième fenêtre.
Sourire cheval départ. Cela voler fortune regarder plein autre.",Medium,To Do,user0004,user0029,2026-09-14,2026-09-14,2026-09-26,,2.0,SPR-0037,COMP-0020,frontend,BI-1706,Production,
899,BANK-899,BANK,Bug,Assez sans résistance qui.,"Patron réduire action militaire approcher enfoncer.
Cri passé penser bas vouloir. Longtemps coeur trop salut aspect but fumer race.
Clair masse placer. Maison seul devoir lisser. Tendre spectacle simple nom seulement salut.",Highest,To Do,user0006,user0048,2026-09-14,2026-09-14,2026-10-08,,3.0,SPR-0037,COMP-0018,database,,Testing,
900,PORTAL-900,PORTAL,Task,Écouter chanter très inspirer quinze distinguer étaler forcer public.,"Regard trace fort payer. Tirer nouveau fil plante fatigue longtemps.
Alors religion vide intérieur même plus. Fier billet signe race intérieur âgé éclat me. Cher nuit public.",Highest,In Progress,user0028,user0023,2026-09-14,2026-09-14,2026-11-20,,3.0,SPR-0032,COMP-0007,analytics,PORTAL-1807,Staging,
901,ERP-901,ERP,Task,Mari corps mettre mode salut semaine portier aile fois.,"Briller embrasser installer moyen vue. Cou soin etc gouvernement humide travailler voiture. Malheur éteindre gouvernement consulter.
Voisin parcourir signe répéter.",High,In Progress,user0044,user0050,2026-09-14,2026-09-14,2026-11-01,,21.0,SPR-0075,COMP-0013,urgent,ERP-842,Testing,
902,PORTAL-902,PORTAL,Task,Apparaître guère voici mouvement pas herbe.,"Calme revenir engager tuer sac droit. Assurer armer caractère noire soutenir. Habiller gauche vendre tombe. Relation île voiture poussière.
Complet roche feuille craindre large. Mois retirer compagnon convenir.",High,To Do,user0025,user0026,2026-09-14,2026-09-14,2026-12-02,,13.0,SPR-0060,COMP-0007,database,PORTAL-519,Production,
903,BANK-903,BANK,Task,Appeler groupe pourtant fond tenir mensonge tandis que arracher difficile femme poursuivre.,"Marche réussir ouvrage chercher six soir. Agent fin rester. Tache paysage empire camarade dominer pas banc perte.
Théâtre troisième abandonner feu puisque.",Medium,Testing,user0030,user0001,2026-09-14,2026-09-14,2026-11-14,,5.0,SPR-0054,COMP-0036,frontend,,Production,
904,MOB-904,MOB,Bug,Violent forme façon oiseau abri quelque.,Frère garder même police. Glisser froid coin recommencer chien. Mêler société politique. Bois signifier président face.,Lowest,Done,user0040,user0033,2026-09-14,2026-09-14,2026-10-22,2026-09-15,8.0,SPR-0048,COMP-0037,analytics,MOB-2670,Staging,Done
905,ECOM-905,ECOM,Bug,Droite calme vide saint ferme sept beau venir fort battre commencement.,"Trait pain accuser terre type noir robe baisser. Chacun bonheur établir revoir présence.
Chercher plaine poésie sommet erreur avancer calmer. Sentier mari tout attention agir. Parcourir bataille pierre intérêt consentir simple.",Low,To Do,user0004,user0005,2026-09-14,2026-09-14,2026-09-21,,5.0,SPR-0067,COMP-0004,urgent,ECOM-3860,Development,
906,BANK-906,BANK,Task,Discours compter sonner devant.,"Principe fortune tôt. Seul mourir comprendre cependant.
Justice fin pluie route finir mesure quoi minute.
Portier caresser danger révolution résultat présenter. Douter fermer atteindre étendre. Complet mal apercevoir garde rire humide loup.",Medium,Blocked,user0048,user0037,2026-09-14,2026-09-14,2026-11-02,,21.0,SPR-0008,COMP-0044,performance,,Development,
907,DATA-907,DATA,Task,Semaine quel ci abattre dimanche gros muet question marquer sourire.,"Propre charge bas voisin. Arrêter premier profondément fil besoin temps inviter.
Cheval public avenir. Général blanc marcher admettre. Science agir réponse théâtre bas.
Secours demeurer rien surprendre. Répandre rêve désigner beaucoup.",Lowest,Done,user0041,user0018,2026-09-14,2026-09-14,2026-11-23,2026-09-15,2.0,SPR-0020,COMP-0047,analytics,DATA-2697,Development,Done
908,BI-908,BI,Task,Livre plan ligne aile noir.,"Roman quarante oublier drame printemps sortir quand.
Malheur fait faux semaine regarder ouvert aucun. Entourer en aussi ce prier parcourir digne. Plein espérer précéder résultat exister drame commencer. Cours devant complètement printemps penser.",High,In Progress,user0034,user0007,2026-09-14,2026-09-14,2026-09-21,,2.0,SPR-0078,COMP-0016,security,BI-1240,Development,
909,BI-909,BI,Story,Mine horizon chacun rue dessiner soi.,"Demande longtemps voile caractère hôtel habiter. Fait certain intérieur aventure sembler. Achever tirer trait ressembler.
Vieux machine sombre jeune. Glisser regarder couper genre pour.",Lowest,Done,user0031,user0011,2026-09-14,2026-09-14,2026-09-28,2026-09-15,1.0,SPR-0039,COMP-0016,data,,Staging,Done
910,CLOUD-910,CLOUD,Bug,Je dominer l'une vêtir y.,Claire signifier semblable toile carte d'abord. Prier vide rêve salle journée coucher.,Lowest,To Do,user0010,user0049,2026-09-14,2026-09-14,2026-10-09,,13.0,SPR-0003,COMP-0043,security,CLOUD-261,Testing,
911,SEC-911,SEC,Bug,Ce oui mesure respecter personne lequel saisir jeunesse ciel art défaut moi.,"Libre mensonge donner inspirer. Quand projet grâce gauche. Expérience d'abord nuit vous madame agir.
Journal traîner foule que pourquoi. À fonction user nommer eh.",Medium,In Progress,user0024,user0045,2026-09-14,2026-09-14,2026-10-28,,3.0,SPR-0013,COMP-0018,production,SEC-4886,Production,
912,MOB-912,MOB,Task,Honte saluer pitié mariage placer froid argent même gris naturellement sourire.,"Plutôt vif posséder nord troisième an. Question avancer route après pauvre te.
Animer rien lorsque malgré noir sauver. Fixe confier vite enfance.",Low,In Progress,user0001,user0037,2026-09-14,2026-09-14,2026-10-27,,5.0,SPR-0016,COMP-0020,frontend,,Production,
913,ECOM-913,ECOM,Sub-task,Rôle entourer ah idée on.,"Bataille importer soit moyen plaindre présenter fermer. Ville curiosité nombreux importance que. Français lui essayer discuter digne paupière retourner.
Lisser on dieu secrétaire vers sept. Désir tranquille appeler propre donc.",Medium,Reopened,user0001,user0011,2026-09-14,2026-09-14,2026-11-19,,13.0,SPR-0059,COMP-0023,performance,,Testing,
914,BANK-914,BANK,Sub-task,Durer ramener brûler chair éteindre arrière pièce lien mari puisque éclairer embrasser étouffer.,"Huit le parole refuser demain. Corps ton préparer avoir demande veiller simple. Que grand colline chez mari président.
Finir asseoir journal répandre tâche mur. Tu terreur paysage fier oeuvre faveur bleu. Effort membre soldat palais.",Lowest,In Progress,user0042,user0049,2026-09-14,2026-09-14,2026-09-29,,2.0,SPR-0020,COMP-0037,customer,BANK-1484,Production,
915,CRM-915,CRM,Story,Saison vaincre exposer grandir soudain auprès descendre âge vivant rappeler environ conclure aller école.,"Exiger joie colline prison. Commencer bleu question important remplir. Non d'autres compagnon. Lune chaleur vérité.
Menacer expérience image lors cri but prier veille. Couvrir principe immense enfoncer.",Medium,In Progress,user0031,user0041,2026-09-14,2026-09-14,2026-11-10,,1.0,SPR-0062,COMP-0043,database,,Staging,
916,CRM-916,CRM,Bug,Morceau cas docteur vêtir désigner tout eau menacer.,"Demain vivre lorsque mince franchir. Grain direction caresser.
Quarante extraordinaire rire posséder monsieur. Naître désigner lequel précieux mouvement armée.",Medium,Testing,user0003,user0001,2026-09-14,2026-09-14,2026-12-04,,8.0,SPR-0052,COMP-0047,database,CRM-4860,Testing,
917,MOB-917,MOB,Bug,Mener témoin article blanc maître doucement y confier.,"Dimanche juste arriver tendre compte tête. Aide parfois grand derrière membre également. Sortir ce divers effort.
Appel parcourir très parole flamme fonder construire. Particulier croire page fumée haïr. Encore ceci fer art quel.",Low,Done,user0007,user0011,2026-09-14,2026-09-14,2026-11-20,2026-09-15,21.0,SPR-0030,COMP-0047,analytics,,Production,Done
918,PORTAL-918,PORTAL,Sub-task,Jusque continuer prononcer vers mener souvent trop quatre repas mine répondre l'un silence possible mesure.,"Pourquoi gauche fin. Loin livre tout saint transformer habiller. Nu croiser surtout.
Juste réserver oeuvre appuyer. Article émotion voyage défaut ferme.",Highest,In Progress,user0049,user0020,2026-09-14,2026-09-14,2026-09-25,,21.0,SPR-0010,COMP-0039,api,,Development,
919,CRM-919,CRM,Story,Veille six atteindre but découvrir éviter position face armer bientôt.,"Salle toute installer plus. Traîner beaux cinquante respect champ empêcher. Le reconnaître absence devoir refuser beau.
Appartement parole conclure soit suivre ouvert courage.",Medium,In Progress,user0013,user0017,2026-09-14,2026-09-14,2026-12-11,,8.0,SPR-0072,COMP-0032,technical-debt,CRM-2137,Staging,
920,DATA-920,DATA,Story,Continuer emporter mettre autrement atteindre.,"Comme comprendre tenir.
Hors fenêtre âme vendre. Faux ne village intérieur.
Égal blanc puis endormir dur. Joli puissant voyage jour. Chemise vision palais as que dur simple mille.",High,In Progress,user0038,user0001,2026-09-14,2026-09-14,2026-11-27,,21.0,SPR-0025,COMP-0041,api,,Development,
921,DATA-921,DATA,Story,Bas être terminer étendre nombreux.,"Côte après toile jambe d'autres. Classe dont commencement nord expliquer chose attacher.
Parcourir dégager empire empire saluer souffrance riche. Fil jeune monter seuil monde. Blond affaire trouver fauteuil secours. Vingt par bête sourd.",High,Done,user0022,user0011,2026-09-14,2026-09-14,2026-11-06,2026-09-15,5.0,SPR-0073,COMP-0044,bug,,Production,Done
922,DATA-922,DATA,Bug,Aspect scène bas rapporter croix.,"Intéresser serrer construire longtemps éclat. Condition d'autres existence tu présenter.
Société ce travail recevoir dégager passer. Auquel et vivant.",Lowest,Done,user0005,user0027,2026-09-14,2026-09-14,2026-11-24,2026-09-15,3.0,SPR-0080,COMP-0028,api,,Production,Done
923,MOB-923,MOB,Task,Temps clair vert rose cela vent résultat retrouver époque.,"François riche avoir dresser écarter sang menacer. Répandre distance acheter.
Promettre l'une rire admettre phrase donner. Agir vite installer où. Pousser nommer simplement ou.",High,Done,user0004,user0041,2026-09-14,2026-09-14,2026-10-29,2026-09-15,1.0,SPR-0064,COMP-0035,customer,MOB-4425,Development,Done
924,DATA-924,DATA,Bug,Large sauter mari caractère grâce compter.,Votre satisfaire chat lumière intelligence également atteindre. Trou durer précieux place travers fort.,Medium,Done,user0011,user0018,2026-09-14,2026-09-14,2026-10-23,2026-09-15,13.0,SPR-0046,COMP-0005,performance,DATA-3459,Testing,Done
925,SEC-925,SEC,Sub-task,Ministre ordre rendre fil ouvrage impression verre rôle partie or étudier aile briller.,"Étouffer paraître comme doigt parler. Compagnon lutter histoire tracer. Plusieurs contenir courage camarade écrire inspirer trou arrière.
Forêt précieux connaissance tenir charger moindre clair.",Medium,In Progress,user0017,user0042,2026-09-14,2026-09-14,2026-09-28,,8.0,SPR-0015,COMP-0002,frontend,,Staging,
926,PORTAL-926,PORTAL,Story,Imaginer pitié interrompre devant.,"Regard l'un absolu fou ruine moins lumière. Toit arrière très poser juge nerveux.
Problème réel témoin traiter grave trou vendre. Pourquoi maintenant travailler animer rapport honte abattre.",High,Done,user0016,user0029,2026-09-14,2026-09-14,2026-10-08,2026-09-15,8.0,SPR-0043,COMP-0005,improvement,PORTAL-274,Development,Done
927,BANK-927,BANK,Sub-task,Curiosité chaque aider cruel français penser diriger animal noire y étaler remonter puisque chaud ainsi.,Cruel poste lourd causer même demander doute. Terme bout saint. Passion soulever toute qui emporter air soi. Cerveau le existence souvent même presque lune.,Low,Blocked,user0009,user0017,2026-09-14,2026-09-14,2026-12-08,,1.0,SPR-0071,COMP-0047,frontend,BANK-1587,Development,
928,ECOM-928,ECOM,Task,Finir rond membre.,"Verser froid reste. Dix ajouter auteur plaine.
Réussir docteur service calmer. Branche posséder arriver forme quatre ailleurs transformer.",High,Done,user0004,user0001,2026-09-14,2026-09-14,2026-11-15,2026-09-15,3.0,SPR-0030,COMP-0050,improvement,,Testing,Done
929,SEC-929,SEC,Task,Quinze votre absolument éteindre habitude.,"Drôle trouver rire question présenter là. Respect recevoir tard chambre large. Aussi situation monter annoncer tenter.
Fleur âge heure tout public. Autrefois par placer poète couleur pouvoir si.",High,Blocked,user0025,user0050,2026-09-14,2026-09-14,2026-09-23,,8.0,SPR-0062,COMP-0025,bug,SEC-1851,Testing,
930,PORTAL-930,PORTAL,Bug,Accuser assez l'une d'autres moins commun calmer qui propos charge jusque gauche surveiller.,"Cependant centre pourtant retourner. Glace sourd armer âme. Tantôt près expliquer coeur car d'autres douze.
Emporter terrain dame jeune roman appeler. Chance tirer fin déposer. Exemple naissance prêter ouvrir nu enfoncer franchir.",Medium,To Do,user0013,user0019,2026-09-14,2026-09-14,2026-10-06,,8.0,SPR-0048,COMP-0028,analytics,PORTAL-1272,Development,
931,DATA-931,DATA,Story,Préférer sommet droit vue.,"Empire bientôt afin de mort. Enfoncer pain seconde espèce lien.
Contraire faible reculer fou assez nous bas. Jeune étudier ouvrir mur anglais. Importance masse réfléchir beauté meilleur lettre. Vêtement nombreux attacher.",Lowest,To Do,user0001,user0049,2026-09-14,2026-09-14,2026-11-12,,13.0,SPR-0069,COMP-0016,data,DATA-1299,Development,
932,MOB-932,MOB,Story,Respirer pouvoir blanc essayer mourir moyen.,"Remettre tendre auteur poursuivre ça fois entourer. Feuille après même brusquement intérêt. Cours mener plan.
Coup couleur autorité dur vieux pourtant. Cause nation saint perdu est endroit silencieux même.",Low,In Progress,user0019,user0010,2026-09-14,2026-09-14,2026-09-26,,3.0,SPR-0045,COMP-0039,production,MOB-2670,Production,
933,MOB-933,MOB,Bug,Soin extraordinaire parcourir nuit toucher davantage.,"Cheveu courage six rencontrer. Encore devant place feuille.
Sans ça couper poursuivre. Vieil avec déchirer double simple affaire. Abri secrétaire éclairer proposer pourtant accrocher.",Highest,Testing,user0015,user0027,2026-09-14,2026-09-14,2026-11-29,,2.0,SPR-0064,COMP-0046,urgent,,Staging,
934,SEC-934,SEC,Story,Libre plein horizon étranger.,Chanter valoir digne quant à lit mince victime. Battre coucher vue étage madame ombre. Absolument roi appeler quant à attention soir.,Medium,Testing,user0004,user0020,2026-09-14,2026-09-14,2026-10-25,,3.0,SPR-0070,COMP-0027,bug,SEC-3489,Production,
935,ERP-935,ERP,Story,Ailleurs plaine confiance durant sept exister salle quel supporter.,"Différent surtout voie lors question chemise résultat. Casser être général quelque recevoir figurer école.
Personne drame importer tenter fin meilleur course. Lever vif cinq sentir reste distinguer.",Low,Done,user0008,user0020,2026-09-14,2026-09-14,2026-11-26,2026-09-15,3.0,SPR-0071,COMP-0047,data,ERP-889,Testing,Done
936,ECOM-936,ECOM,Sub-task,Folie chasse gloire.,"Défaut bureau chaleur écrire. Porter intérieur éviter devenir expliquer prince presque. Simple pièce peine.
Ligne salle exposer confondre nu nouveau. Tôt calme parmi oeuvre fusil. Vide droite science suivant imposer céder.",Low,Done,user0018,user0017,2026-09-14,2026-09-14,2026-11-18,2026-09-15,1.0,SPR-0064,COMP-0038,production,ECOM-1029,Staging,Done
937,MOB-937,MOB,Story,Reposer but pencher étude sien cesser peur devoir dire puisque un vieil passage livre amener exposer.,"Village tôt soit offrir. Campagne brusquement sang vol tache ramener. Roche tout valeur raison quelque. État seulement d'abord remplacer aimer importance.
Société reculer permettre coeur ailleurs. Conscience puis chaleur toujours danger signer fait.",Lowest,Done,user0003,user0015,2026-09-14,2026-09-14,2026-09-23,2026-09-15,5.0,SPR-0050,COMP-0014,production,MOB-4650,Testing,Done
938,PORTAL-938,PORTAL,Task,Discours faim lit installer dehors réfléchir nous.,"Lorsque l'une enfermer tout chute comme chose haut. Confier parmi ressembler. Examiner rire tenir semaine chair.
Écouter ville promener ici compte réponse.",Medium,To Do,user0017,user0050,2026-09-14,2026-09-14,2026-11-04,,1.0,SPR-0078,COMP-0038,security,,Development,
939,BANK-939,BANK,Bug,Contenir nous femme sauvage fonction garde.,"Posséder partie secours dix million ferme. Droit là demander afin de garde dernier silence.
Centre parce que île. Point espace lien te. Espace verser auprès.",Lowest,In Progress,user0036,user0023,2026-09-14,2026-09-14,2026-11-14,,21.0,SPR-0008,COMP-0047,analytics,BANK-1811,Staging,
940,SEC-940,SEC,Task,Et sentier voisin occasion armer disposer peu devoir réveiller poste.,"Poids découvrir durant genou. Entrée sentir parce que confier.
Amour chaleur haut rien propos art exprimer au. Tomber suivre vieux sujet nourrir.
Avance habiller pain partir. Étude centre sourire violent.",Medium,Testing,user0030,user0049,2026-09-14,2026-09-14,2026-11-26,,3.0,SPR-0021,COMP-0016,database,SEC-659,Development,
941,ERP-941,ERP,Bug,Sonner fils accuser arriver éteindre sorte prétendre eaux éviter battre découvrir.,"Aile pouvoir blanc école douze. Page donner tendre volonté souvent rouge entendre. Il quarante soi habiller.
Chute écarter presque auprès tout avenir. Saisir bout garder mensonge cesse sac famille. Environ partir intérieur mariage service.",Lowest,To Do,user0022,user0037,2026-09-14,2026-09-14,2026-10-22,,21.0,SPR-0070,COMP-0026,frontend,ERP-4919,Staging,
942,BANK-942,BANK,Story,En il sauvage dire nouveau prix puissant comme raconter assurer rose inventer souffler.,"Saisir titre an y tout militaire. Secrétaire vue livrer.
Se yeux an autre surveiller mémoire. Matin pourtant rapport interrompre as ça droite absence. Douceur représenter devant signer défaut.",Medium,Done,user0017,user0011,2026-09-14,2026-09-14,2026-12-07,2026-09-15,1.0,SPR-0040,COMP-0029,technical-debt,BANK-4744,Development,Done
943,BI-943,BI,Story,Surprendre maître trait autorité état beau révolution commun.,"Accomplir yeux médecin.
Passion égal reprendre en immobile hiver clair. Falloir trente gris nation projet content seigneur. Moins examiner mariage autre appuyer.",Highest,Reopened,user0027,user0002,2026-09-14,2026-09-14,2026-11-21,,13.0,SPR-0072,COMP-0038,backend,,Staging,
944,CLOUD-944,CLOUD,Task,Calmer volonté placer paraître moyen apparence ah discussion rue.,"Décider immobile papa savoir. Mariage avouer maison lire billet tout raison. Fête relever point entre violent musique.
Mari parti police vouloir appuyer charger. Pour tel frapper prière frère. Certainement faux doigt folie amour.",Highest,In Progress,user0032,user0010,2026-09-14,2026-09-14,2026-10-24,,21.0,SPR-0036,COMP-0015,api,CLOUD-3004,Testing,
945,CRM-945,CRM,Epic,Maintenir soleil perdre discuter forme.,"Écarter saisir parler parler user. Vraiment mal erreur lit oeil répéter. Vivant auteur avant sans quatre.
Titre effet bien. Entrer creuser vaincre manquer étoile détacher étranger adresser.",Medium,In Progress,user0044,user0031,2026-09-14,2026-09-14,2026-12-13,,,SPR-0005,COMP-0029,mobile,,Staging,
946,ECOM-946,ECOM,Task,Journal arriver dans hauteur afin de village source.,"Capable quoi apparence revenir. Aider sommet rare aller sauver refuser.
Ton rang projet place blanc lettre liberté livre. Haut changer chercher. Jardin demain vendre miser.",High,To Do,user0035,user0048,2026-09-14,2026-09-14,2026-10-24,,3.0,SPR-0003,COMP-0003,mobile,,Testing,
947,BANK-947,BANK,Story,Comme but hauteur prix user ensuite frapper joindre loup intérêt.,Lire signifier preuve réunir changer allumer. Relation devant pensée enfin. Inconnu désert chacun entretenir beauté. Près crainte mien beau agent animal poids veiller.,Lowest,In Progress,user0021,user0037,2026-09-14,2026-09-14,2026-11-25,,1.0,SPR-0031,COMP-0024,data,BANK-443,Production,
948,MOB-948,MOB,Task,Fête alors attitude habiter port tranquille aucun étouffer livre aussi fer.,"Courage chemise pousser groupe convenir grand fin cacher. Âge avant autour jeu extraordinaire assez. Rompre élément preuve fin avance.
Droite rayon petit prince. Véritable tirer véritable plusieurs. Endroit environ prévenir auprès.",Medium,In Progress,user0027,user0042,2026-09-14,2026-09-14,2026-11-01,,8.0,SPR-0047,COMP-0024,technical-debt,MOB-1676,Staging,
949,CLOUD-949,CLOUD,Story,Intelligence vêtir fait tu quelque.,Paupière aider nombreux en chambre. Celui relever oiseau donc accompagner lendemain dire. Pourquoi convenir demande aimer note. Puis exposer prévoir chaîne femme.,Medium,To Do,user0039,user0012,2026-09-14,2026-09-14,2026-10-10,,8.0,SPR-0004,COMP-0021,performance,CLOUD-3004,Staging,
950,DATA-950,DATA,Story,Acheter grand rien parfaitement décider.,"Planche précieux larme trente. Intéresser portier article condition type trois.
Composer tomber avant car bouche nez triste mentir. Livre neuf croire. Coûter objet saint consulter révolution.",Lowest,To Do,user0015,user0037,2026-09-14,2026-09-14,2026-10-10,,5.0,SPR-0011,COMP-0033,mobile,DATA-1633,Production,
951,SEC-951,SEC,Bug,Désigner très lisser miser exprimer meilleur voix humide peser ruine habitude animer froid léger arrière.,"Genre donner toujours personnage train. Profiter parti figure lourd âme promener rentrer.
Amener chasser appartenir joue fauteuil vivant retenir. Tôt passé mien métier.",Medium,Testing,user0021,user0017,2026-09-14,2026-09-14,2026-09-27,,8.0,SPR-0061,COMP-0013,data,SEC-2373,Staging,
952,DATA-952,DATA,Story,Plusieurs prochain briller article désert doigt servir souvenir ventre.,Glisser mon sourire consulter rapport. Content difficile pointe assurer plaire autour. Expérience savoir note froid bataille prendre empire.,Medium,In Progress,user0029,user0049,2026-09-14,2026-09-14,2026-10-31,,13.0,SPR-0015,COMP-0027,customer,,Development,
953,BANK-953,BANK,Task,Fermer être espérer étroit compte recherche renverser.,"Nous élément croix. Réveiller doigt lourd. Marche premier poésie problème aujourd'hui.
Droite haut engager franc un guère croiser. Nuage poète partie temps naturel jambe.
Dans examiner où. Inspirer dos hasard.",Highest,Done,user0027,user0015,2026-09-14,2026-09-14,2026-12-13,2026-09-15,8.0,SPR-0030,COMP-0037,data,,Testing,Done
954,SEC-954,SEC,Story,Vision intérêt chacun politique précieux palais.,"Blanc violent exécuter question ah. Foi ceci poche causer. Sens verser chez couvrir comme théâtre après.
Terre intéresser lourd mener genre vers faute écarter. Raconter battre lutte. Songer commun colère déchirer embrasser aventure.",Low,Blocked,user0022,user0019,2026-09-14,2026-09-14,2026-10-08,,8.0,SPR-0034,COMP-0008,backend,,Production,
